gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000167460,0.142259414225941,0.765690376569038,0.0920502092050208,220.2,37.5,0.877556711468406,7.55263963538866e-05,4.19181541855274e-06,0.745570605862712
ENSG00000176170,0.217573221757322,0.702928870292887,0.0794979079497908,260.5,47.1,0.736903307566034,0.000505217537382641,1.6325233498371e-08,0.644972908056414
ENSG00000166401,0.138075313807531,0.698744769874477,0.163179916317992,177.6,18.8,0.883418382298077,0.000568648036367359,0.000446000040614014,0.889379931472051
ENSG00000151012,0.217573221757322,0.694560669456067,0.0878661087866108,301.4,53.2,0.736903307566034,0.000639371772932829,1.870392729586e-11,0.574661385834395
ENSG00000165304,0.200836820083682,0.686192468619247,0.112970711297071,216.7,42.3,0.773791056700472,0.000805766936679553,6.44124660142964e-06,0.697142466331043
ENSG00000029153,0.167364016736402,0.682008368200837,0.150627615062762,211.5,20.8,0.838059869593967,0.000903142805310009,1.20087316582973e-05,0.877598178057009
ENSG00000006327,0.242677824267782,0.677824267782427,0.0794979079497908,215.4,26.3,0.676338253835845,0.00101123019766447,7.5395864329586e-06,0.840760128198729
ENSG00000197780,0.196652719665272,0.661087866108787,0.142259414225941,122.5,37.4,0.782534288723621,0.00157289743905398,0.0316121654986877,0.746534627206357
ENSG00000105185,0.179916317991632,0.652719665271967,0.167364016736402,94.5,26.1,0.815498758384717,0.00194947774970977,0.132815800922256,0.842215281620708
ENSG00000123130,0.234309623430962,0.652719665271967,0.112970711297071,122.1,37.6,0.697165298074592,0.00194947774970977,0.0323753188184913,0.744604666550174
ENSG00000181649,0.192468619246862,0.652719665271967,0.154811715481172,306.9,50,0.791079182706454,0.00194947774970977,6.88882284549663e-12,0.611998591749868
ENSG00000196754,0.158995815899582,0.652719665271967,0.188284518828452,277.8,33.6,0.852057072169965,0.00194947774970977,1.07170750052177e-09,0.781701897374392
ENSG00000106105,0.200836820083682,0.648535564853557,0.150627615062762,155.1,41.2,0.773791056700472,0.00216696673924544,0.00322148937174527,0.708598455258955
ENSG00000115641,0.213389121338912,0.648535564853557,0.138075313807531,196.6,41.4,0.746404587001072,0.00216696673924544,6.46742018688418e-05,0.706530642003211
ENSG00000168003,0.263598326359833,0.648535564853557,0.0878661087866108,163.4,42.1,0.621921144166599,0.00216696673924544,0.00161470737104463,0.699240325446292
ENSG00000155304,0.200836820083682,0.644351464435147,0.154811715481172,127.8,46.6,0.773791056700472,0.00240622900975374,0.0228301084480246,0.650557735569556
ENSG00000165996,0.196652719665272,0.640167364016736,0.163179916317992,135.2,37.8,0.782534288723621,0.00266915003679569,0.0140723486113862,0.742667053843817
ENSG00000033178,0.205020920502092,0.635983263598326,0.158995815899582,95.1,34.3,0.764852606862382,0.0029577462157262,0.129421285711267,0.775443069263046
ENSG00000164171,0.184100418410042,0.631799163179916,0.184100418410042,153.9,48.6,0.807563520018971,0.00327417063331326,0.00354659046440331,0.62803492139286
ENSG00000138119,0.217573221757322,0.627615062761506,0.154811715481172,229.9,41.1,0.736903307566034,0.00362071876223846,1.22025369697631e-06,0.709629806357822
ENSG00000169756,0.213389121338912,0.627615062761506,0.158995815899582,139.8,30.1,0.746404587001072,0.00362071876223846,0.0102365400200166,0.811451379958571
ENSG00000101384,0.259414225941423,0.623430962343096,0.117154811715481,192,46.5,0.633041977502473,0.00399983403765847,0.000105530172773372,0.651670846841364
ENSG00000134109,0.234309623430962,0.623430962343096,0.142259414225941,97.5,37.5,0.697165298074592,0.00399983403765847,0.116446545333724,0.745570605862712
ENSG00000134363,0.251046025104603,0.623430962343096,0.125523012552301,212.3,57.4,0.654943706551072,0.00399983403765847,1.09243380652657e-05,0.524674875548965
ENSG00000136603,0.230125523012552,0.623430962343096,0.146443514644351,143.3,51.9,0.707348637956655,0.00399983403765847,0.00796278080964197,0.589930858153785
ENSG00000197879,0.205020920502092,0.623430962343096,0.171548117154812,88.4,22.8,0.764852606862382,0.00399983403765847,0.170802406765232,0.864962600904055
ENSG00000277443,0.246861924686192,0.623430962343096,0.129707112970711,127.9,56.6,0.665708270648053,0.00399983403765847,0.0226865203664396,0.534250731611941
ENSG00000128965,0.196652719665272,0.619246861924686,0.184100418410042,244.8,52.7,0.782534288723621,0.00441411327190455,1.61778324736517e-07,0.580548845194853
ENSG00000054598,0.234309623430962,0.615062761506276,0.150627615062762,162.3,53.7,0.697165298074592,0.00486631186035247,0.00177407624842507,0.568757230004964
ENSG00000071054,0.271966527196653,0.615062761506276,0.112970711297071,109.1,44.2,0.599382460325794,0.00486631186035247,0.0666329349329926,0.676895402091574
ENSG00000111711,0.255230125523013,0.615062761506276,0.129707112970711,102.1,41.1,0.644052269209735,0.00486631186035247,0.0942148065264271,0.709629806357822
ENSG00000117228,0.259414225941423,0.615062761506276,0.125523012552301,287.9,57.1,0.633041977502473,0.00486631186035247,1.98662419848006e-10,0.528267791310981
ENSG00000124762,0.263598326359833,0.615062761506276,0.121338912133891,238.7,47.9,0.621921144166599,0.00486631186035247,3.76825650238999e-07,0.635972491730101
ENSG00000149257,0.200836820083682,0.615062761506276,0.184100418410042,134.4,36.8,0.773791056700472,0.00486631186035247,0.0148527897838228,0.75227820660184
ENSG00000173559,0.242677824267782,0.615062761506276,0.142259414225941,187.6,52.2,0.676338253835845,0.00486631186035247,0.000166347642756359,0.586418326898961
ENSG00000111817,0.238493723849372,0.610878661087866,0.150627615062761,175.7,53.3,0.686826275747566,0.00535934872854749,0.000533889622261308,0.573481849185574
ENSG00000171208,0.271966527196653,0.610878661087866,0.117154811715481,154.5,52.8,0.599382460325794,0.00535934872854749,0.00338052907904685,0.579372750705329
ENSG00000137814,0.246861924686192,0.606694560669456,0.146443514644351,81.9,31,0.665708270648053,0.00589631096785992,0.218230086865626,0.804050699181682
ENSG00000150787,0.230125523012552,0.606694560669456,0.163179916317992,101.6,40.8,0.707348637956655,0.00589631096785992,0.096467506155337,0.712713559621319
ENSG00000163249,0.209205020920502,0.606694560669456,0.184100418410042,109.3,34.3,0.755722469958597,0.00589631096785992,0.0659483719988699,0.775443069263046
ENSG00000166451,0.276150627615063,0.606694560669456,0.117154811715481,130.7,49.6,0.587982531878432,0.00589631096785992,0.0189644278027482,0.61660127414587
ENSG00000056558,0.221757322175732,0.602510460251046,0.175732217573222,245.1,38.5,0.727223386635516,0.0064804581043002,1.55086886222122e-07,0.735825734750243
ENSG00000088826,0.251046025104603,0.602510460251046,0.146443514644351,133.8,39.6,0.654943706551072,0.0064804581043002,0.0154622842186376,0.724891046344309
ENSG00000123240,0.238493723849372,0.602510460251046,0.158995815899582,176.8,44.4,0.686826275747566,0.0064804581043002,0.000481230113665632,0.674731905010628
ENSG00000149554,0.271966527196653,0.602510460251046,0.125523012552301,164.3,49.4,0.599382460325794,0.0064804581043002,0.00149414081762356,0.61889650401501
ENSG00000196639,0.234309623430962,0.602510460251046,0.163179916317992,181,32.6,0.697165298074592,0.0064804581043002,0.000321329108806556,0.790466390078611
ENSG00000067057,0.284518828451883,0.598326359832636,0.117154811715481,149.5,44.5,0.564967936736879,0.00711522594269909,0.00500540817997253,0.673647937955557
ENSG00000078269,0.217573221757322,0.598326359832636,0.184100418410042,162.9,33.5,0.736903307566034,0.00711522594269909,0.00168545685404364,0.782587738331695
ENSG00000110218,0.242677824267782,0.598326359832636,0.158995815899582,120.6,35.6,0.676338253835845,0.00711522594269909,0.0353736873341672,0.763553668335674
ENSG00000113712,0.129707112970711,0.598326359832636,0.271966527196653,73.9,9.2,0.894538472222724,0.00711522594269909,0.285870309114231,0.934741914551186
ENSG00000123353,0.263598326359833,0.598326359832636,0.138075313807531,100.1,42.9,0.621921144166599,0.00711522594269909,0.10346265527193,0.690809955899558
ENSG00000163069,0.280334728033473,0.598326359832636,0.121338912133891,103.7,46.1,0.57650786338528,0.00711522594269909,0.0872670861344027,0.656110159003823
ENSG00000082153,0.196652719665272,0.594142259414226,0.209205020920502,84.7,28.4,0.782534288723621,0.00780422992628027,0.196932869024301,0.824952427464236
ENSG00000099250,0.267782426778243,0.594142259414226,0.138075313807531,191.3,58.3,0.610698357234094,0.00780422992628027,0.000113552243497739,0.5138852505188
ENSG00000120539,0.221757322175732,0.594142259414226,0.184100418410042,113.6,46.5,0.727223386635516,0.00780422992628027,0.0525101412074172,0.651670846841364
ENSG00000138069,0.154811715481172,0.594142259414226,0.251046025104603,73.3,17.9,0.858742640025401,0.00780422992628027,0.291318231481576,0.894407783983639
ENSG00000138600,0.188284518828452,0.594142259414226,0.217573221757322,109.3,25.9,0.799423027801023,0.00780422992628027,0.0659483719988699,0.843661673836361
ENSG00000138698,0.225941422594142,0.594142259414226,0.179916317991632,98.4,37.1,0.717369979963236,0.00780422992628027,0.111827296579116,0.749415134639482
ENSG00000139496,0.284518828451883,0.594142259414226,0.121338912133891,131.7,37.7,0.564967936736879,0.00780422992628027,0.0177674597439046,0.743636814213977
ENSG00000172175,0.301255230125523,0.594142259414226,0.104602510460251,92.4,50.9,0.518350617026713,0.00780422992628027,0.145176733720935,0.601585773648437
ENSG00000003402,0.297071129707113,0.589958158995816,0.112970711297071,149.7,54.2,0.530053785031783,0.00855126794977723,0.0049289712618017,0.562837670093923
ENSG00000067225,0.246861924686192,0.589958158995816,0.163179916317992,129.5,44.2,0.665708270648053,0.00855126794977723,0.0204906805535443,0.676895402091574
ENSG00000072682,0.284518828451883,0.589958158995816,0.125523012552301,190.6,50.6,0.564967936736879,0.00855126794977723,0.00012214404647648,0.605065159031201
ENSG00000105855,0.230125523012552,0.589958158995816,0.179916317991632,266.6,45.4,0.707348637956655,0.00855126794977723,6.39768849008959e-09,0.663827096783967
ENSG00000110031,0.246861924686192,0.589958158995816,0.163179916317992,168.6,50.3,0.665708270648053,0.00855126794977723,0.00102371634739451,0.608536185734198
ENSG00000134851,0.271966527196653,0.589958158995816,0.138075313807531,105.7,41.6,0.599382460325794,0.00855126794977723,0.0791294451511407,0.704456057845963
ENSG00000136026,0.209205020920502,0.589958158995816,0.200836820083682,125.1,58.5,0.755722469958597,0.00855126794977723,0.0270062439704274,0.511485895905746
ENSG00000157036,0.234309623430962,0.589958158995816,0.175732217573222,69.5,20.5,0.697165298074592,0.00855126794977723,0.326893402018233,0.879419487370496
ENSG00000163191,0.205020920502092,0.589958158995816,0.205020920502092,188.4,40.5,0.764852606862382,0.00855126794977723,0.000153285240858891,0.715781728458999
ENSG00000167695,0.292887029288703,0.589958158995816,0.117154811715481,118.2,40.7,0.541731047007499,0.00855126794977723,0.0406417328781807,0.713738022631862
ENSG00000176014,0.230125523012552,0.589958158995816,0.179916317991632,173.6,32.7,0.707348637956655,0.00855126794977723,0.000649504805517842,0.789599367831887
ENSG00000198369,0.317991631799163,0.589958158995816,0.0920502092050209,136.1,48.5,0.471480726011137,0.00855126794977723,0.0132368419924257,0.629172288241628
ENSG00000038210,0.192468619246862,0.585774058577406,0.221757322175732,116.3,33,0.791079182706454,0.00936032256270936,0.0452494220133407,0.786985697063109
ENSG00000115008,0.175732217573222,0.585774058577406,0.238493723849372,397.6,51.4,0.823227239807885,0.00936032256270936,0,0.595768941086679
ENSG00000145623,0.146443514644351,0.585774058577406,0.267782426778243,135.1,33.3,0.871491257280837,0.00936032256270936,0.014167929769087,0.784353180206225
ENSG00000146242,0.196652719665272,0.585774058577406,0.217573221757322,144.3,41.3,0.782534288723621,0.00936032256270936,0.00740066605478751,0.707565398292343
ENSG00000147650,0.221757322175732,0.585774058577406,0.192468619246862,124.6,26.5,0.727223386635516,0.00936032256270936,0.0278456829021709,0.83929621350813
ENSG00000160326,0.242677824267782,0.585774058577406,0.171548117154812,148.3,55.5,0.676338253835845,0.00936032256270936,0.00548659788562889,0.547384098628561
ENSG00000196141,0.284518828451883,0.585774058577406,0.129707112970711,142.4,35.2,0.564967936736879,0.00936032256270936,0.00850043644731702,0.767248406566121
ENSG00000196878,0.292887029288703,0.585774058577406,0.121338912133891,219,54.6,0.541731047007499,0.00936032256270936,4.86155188184068e-06,0.558091806341255
ENSG00000226479,0.309623430962343,0.585774058577406,0.104602510460251,99.3,49.1,0.494906880610744,0.00936032256270936,0.107340602843416,0.622331496749346
